image_path,race,subject_id
African\m.010lz5\m.010lz5_0001.jpg,African,m.010lz5
African\m.010lz5\m.010lz5_0002.jpg,African,m.010lz5
African\m.010lz5\m.010lz5_0003.jpg,African,m.010lz5
African\m.011y5k\m.011y5k_0001.jpg,African,m.011y5k
African\m.011y5k\m.011y5k_0002.jpg,African,m.011y5k
African\m.011y5k\m.011y5k_0003.jpg,African,m.011y5k
African\m.011y5k\m.011y5k_0004.jpg,African,m.011y5k
African\m.01257s\m.01257s_0001.jpg,African,m.01257s
African\m.01257s\m.01257s_0002.jpg,African,m.01257s
African\m.01257s\m.01257s_0003.jpg,African,m.01257s
African\m.0126y2\m.0126y2_0001.jpg,African,m.0126y2
African\m.0126y2\m.0126y2_0002.jpg,African,m.0126y2
African\m.0126y2\m.0126y2_0003.jpg,African,m.0126y2
African\m.0126y2\m.0126y2_0004.jpg,African,m.0126y2
African\m.012f1d\m.012f1d_0001.jpg,African,m.012f1d
African\m.012f1d\m.012f1d_0002.jpg,African,m.012f1d
African\m.012f1d\m.012f1d_0003.jpg,African,m.012f1d
African\m.012gl8\m.012gl8_0001.jpg,African,m.012gl8
African\m.012gl8\m.012gl8_0002.jpg,African,m.012gl8
African\m.012gl8\m.012gl8_0003.jpg,African,m.012gl8
African\m.012gr9\m.012gr9_0001.jpg,African,m.012gr9
African\m.012gr9\m.012gr9_0002.jpg,African,m.012gr9
African\m.012mh_\m.012mh__0001.jpg,African,m.012mh_
African\m.012mh_\m.012mh__0002.jpg,African,m.012mh_
African\m.012mh_\m.012mh__0003.jpg,African,m.012mh_
African\m.012mh_\m.012mh__0004.jpg,African,m.012mh_
African\m.012mh_\m.012mh__0005.jpg,African,m.012mh_
African\m.012mh_\m.012mh__0006.jpg,African,m.012mh_
African\m.012mk7\m.012mk7_0001.jpg,African,m.012mk7
African\m.012mk7\m.012mk7_0002.jpg,African,m.012mk7
African\m.012mk7\m.012mk7_0003.jpg,African,m.012mk7
African\m.012mmb\m.012mmb_0001.jpg,African,m.012mmb
African\m.012mmb\m.012mmb_0002.jpg,African,m.012mmb
African\m.012mmb\m.012mmb_0003.jpg,African,m.012mmb
African\m.012qsp\m.012qsp_0001.jpg,African,m.012qsp
African\m.012qsp\m.012qsp_0002.jpg,African,m.012qsp
African\m.012qsp\m.012qsp_0003.jpg,African,m.012qsp
African\m.012qsp\m.012qsp_0004.jpg,African,m.012qsp
African\m.012tmz\m.012tmz_0001.jpg,African,m.012tmz
African\m.012tmz\m.012tmz_0002.jpg,African,m.012tmz
African\m.012tmz\m.012tmz_0003.jpg,African,m.012tmz
African\m.012tmz\m.012tmz_0004.jpg,African,m.012tmz
African\m.012vd6\m.012vd6_0001.jpg,African,m.012vd6
African\m.012vd6\m.012vd6_0002.jpg,African,m.012vd6
African\m.012vd6\m.012vd6_0003.jpg,African,m.012vd6
African\m.012vk4\m.012vk4_0001.jpg,African,m.012vk4
African\m.012vk4\m.012vk4_0002.jpg,African,m.012vk4
African\m.012vk4\m.012vk4_0003.jpg,African,m.012vk4
African\m.0139ps\m.0139ps_0001.jpg,African,m.0139ps
African\m.0139ps\m.0139ps_0002.jpg,African,m.0139ps
African\m.0139ps\m.0139ps_0003.jpg,African,m.0139ps
African\m.0139ps\m.0139ps_0004.jpg,African,m.0139ps
African\m.013w7j\m.013w7j_0001.jpg,African,m.013w7j
African\m.013w7j\m.013w7j_0002.jpg,African,m.013w7j
African\m.013w7j\m.013w7j_0003.jpg,African,m.013w7j
African\m.015m2v\m.015m2v_0001.jpg,African,m.015m2v
African\m.015m2v\m.015m2v_0002.jpg,African,m.015m2v
African\m.015pz3\m.015pz3_0001.jpg,African,m.015pz3
African\m.015pz3\m.015pz3_0002.jpg,African,m.015pz3
African\m.015pz3\m.015pz3_0003.jpg,African,m.015pz3
African\m.015pz3\m.015pz3_0004.jpg,African,m.015pz3
African\m.015pz3\m.015pz3_0005.jpg,African,m.015pz3
African\m.015pz3\m.015pz3_0006.jpg,African,m.015pz3
African\m.015q3m\m.015q3m_0001.jpg,African,m.015q3m
African\m.015q3m\m.015q3m_0002.jpg,African,m.015q3m
African\m.015q3m\m.015q3m_0003.jpg,African,m.015q3m
African\m.015q3m\m.015q3m_0004.jpg,African,m.015q3m
African\m.0161fm\m.0161fm_0001.jpg,African,m.0161fm
African\m.0161fm\m.0161fm_0002.jpg,African,m.0161fm
